Device:,Adaptive Utensils,,,,,,,,,,,,,
Version:, V2.0.0,,,,,,,,,,,,,
Last Updated:,2025-May-28,,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,,,
,,,,,,,,351.74,, $11.51 , $19.00 ,,,
ID,Commercial Parts,,,,,,,,, $2.50 , $9.99 ,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link,
,IDENTITET Spoon and Fork,"16-piece cutlery set. Stainless steel, dishwasher safe. Includes: Fork, knife, spoon, and teaspoon, 4 of each.",,IKEA,IKEA,1,4,1, $9.99 , $2.50 , $9.99 ,,https://www.ikea.com/ca/en/p/identitet-16-piece-cutlery-set-stainless-steel-50578174/,
,,,,,,,,,,,,,,
,3D Printed Parts,,,,,,,355.32,, $9.01 , $9.01 ,,,
,Part,Description,Filament Type,Filament,Color,QTY / Device,Mass (g) / Part,Total Mass,$ / kg,$ / Device,Total Estimated Cost,,Link,
,IKEA_Core-Fork,Core that wraps around the IKEA IDENTITET large fork. Allows the fork to be swapped and locked between handle types. Commonly printed in black PETG.  ,PetG,,Black,1,9.06,9.06, $30.00 , $0.27 , $0.27 ,,,
,IKEA_Core-Spoon,Core that wraps around the IKEA IDENTITET large spoon. Allows the spoon to be swapped and locked between handle types. Commonly printed in white PETG. ,PetG,,White,1,8.99,8.99, $30.00 , $0.27 , $0.27 ,,,
,IKEA_Shell,Outer shell slides around the fork and spoon cores to hold them closed. The outer shell is interchangeable between fork and spoon cores. ,PetG,,Any,2,3.58,7.16, $30.00 , $0.21 , $0.21 ,,,
,IKEA_Ellipse,Cylinder handle with an oval cross section shape.,PLA,,Any,1,32.78,32.78, $25.00 , $0.82 , $0.82 ,,,
,IKEA_FingerGrip,Handle with finger groove indentations. ,PLA,,Any,1,25.65,25.65, $25.00 , $0.64 , $0.64 ,,,
,IKEA_FingerSupport-Large,Has rigid support around the fingers and thumb. The larger version has a 33mm spacing for the finger support.,PLA,,Any,1,50.84,50.84, $25.00 , $1.27 , $1.27 ,,,
,IKEA_FingerSupport-Small,Has rigid support around the fingers and thumb. The smaller version has a 27mm spacing for the finger support. ,PLA,,Any,1,50.19,50.19, $25.00 , $1.25 , $1.25 ,,,
,IKEA_RoundedGrip,Rounded handle that is thickest in the middle and tapers thinner at the top and bottom. ,PLA,,Any,1,30.29,30.29, $25.00 , $0.76 , $0.76 ,,,
,IKEA_Sphere-Large,Spherical handle. The larger version has a 70 mm diameter sphere. ,PLA,,Any,1,45.38,45.38, $25.00 , $1.13 , $1.13 ,,,
,IKEA_Sphere-Small,Spherical handle. The smaller version has a 52 mm diameter sphere. ,PLA,,Any,1,20.85,20.85, $25.00 , $0.52 , $0.52 ,,,
,IKEA_Straight-Large,Cylinder handle with a circular cross section. The larger version has a 42 mm diameter cross section. ,PLA,,Any,1,48.98,48.98, $25.00 , $1.22 , $1.22 ,,,
,IKEA_Straight-Small,Cylinder handle with a circular cross section. The smaller version has a 27 mm diameter cross section. ,PLA,,Any,1,25.15,25.15, $25.00 , $0.63 , $0.63 ,,,
,,,,,,,,,,,,,,
,Custom PCB,,,,,,,,, $-   , $-   ,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link,
,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Tools,,,,,,,,,,,,,
,Tool,Description,,Manufacturer,Supplier,,,,,,,,Link,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Alternatives,,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
